Section ,D(mm),bf(mm),tw(mm),tf(mm),R(mm),Iy(cm4),Ix(cm4),rx(cm),ry(cm),Zex(cm3),Zey(cm3),Zpx(cm3),Zpy(cm3),A(cm2),Sectional Weight(kg/m)
ISMB 100,100,50,4.7,7,9,12.9,183,4,1.05,36.6,5.16,42.6,8.58,11.4,8.9
ISMB 125,125,70,5,8,9,38.5,445,5.16,1.51,71.2,11,82.1,18.4,17,13.3
ISMB 150,150,75,5,8,9,46.8,718,6.13,1.57,95.7,12.5,109,21,19.1,15
ISMB 175,175,85,5.8,9,10,76.7,1260,7.13,1.76,144,18,165,30.5,25,19.6
ISMB 200,200,100,5.7,10,11,137,2120,8.29,2.11,212,27.4,240,46,30.8,24.2
ISMB 225,225,110,6.5,11.8,12,218,3442,9.31,2.34,306,39.7,348,66.3,39.7,31.16
ISMB 250,250,125,6.9,12.5,13,335,194.1,10.4,2.65,411,53.5,466,89.7,47.6,37.36
ISMB 300,300,140,7.7,13.1,14,486,240.2,12.4,2.88,599,69.5,681,118,58.7,46.07
ISMB 350,350,140,8.1,14.2,14,538,288,14.3,2.84,779,76.8,890,130,66.7,52.35
ISMB 400,400,140,8.9,16,14,622,334.4,16.1,2.82,1023,88.9,1176,150,78.5,61.62
ISMB 450,450,150,9.4,17.4,15,834,379.2,18.1,3.01,1351,111,1553,187,92.3,72.45
ISMB 500,500,180,10.2,17.2,17,1370,424.1,20.2,3.52,1809,152,2075,260,111,87.13
ISMB 550,550,190,11.2,19.3,18,1834,467.5,22.2,3.73,2360,193,2712,328,132,103.62
ISMB 600,600,210,12,20.3,20,2574,510.7,24.2,4.09,3009,245,3455,418,154,120.89
ISJB 150,150,50,50,3,4.6,9.22,130.4,5.98,1.01,42.9,3.69,49.6,5.96,9.01,7.07
ISJB 175,175,50,50,3.2,4.8,9.65,155,6.84,0.969,54.9,3.86,64.2,6.32,10.3,8.08
ISJB 200,200,60,60,3.4,5,17.3,179.5,7.86,1.17,78.1,5.76,90.9,9.35,12.6,9.89
ISJB 225,225,80,80,3.7,5,40.5,201.3,8.97,1.58,116,10.1,134,16.3,16.3,12.79
ISLB 75,75,50,50,3.7,5,10,51.7,3.07,1.14,19.4,4,22.4,6.4,7.71,6.05
ISLB 100,100,50,50,4,6.4,12.7,73,4.06,1.12,33.6,5.09,38.9,8.2,10.2,8
ISLB(P) 100,100,50,50,4.3,7,14,69.8,4.04,1.12,36.3,5.61,42.3,9.07,11.1,8.71
ISLB 125,125,75,75,4.4,6.5,43.4,95.5,5.19,1.69,65.1,11.6,73.9,18.4,15.1,11.85
ISLB 150,150,80,80,4.8,6.8,55.2,116.9,6.17,1.75,91.7,13.8,105,22.1,18.1,14.2
ISLB 175,175,90,90,5.1,6.9,79.6,141.6,7.17,1.93,125,17.7,143,28.3,21.3,16.72
ISLB(P) 175,175,80,80,5.2,7.7,57.3,138.6,7.1,1.65,122,14.3,140,23.9,21.2,16.64
ISLB 200,200,100,5.4,7.3,9.5,115,165.7,8.19,2.14,170,23.1,193,36.9,25.3,19.86
ISLB(P) 200,220,100,5.6,8,9.5,113,181.9,8.95,2.01,204,22.6,233,37.9,28,21.98
ISLB 225,225,100,5.8,8.6,12,113,180.3,9.14,1.94,222,22.6,255,39.2,29.9,23.47
ISLB 250,250,125,6.1,8.2,13,193,202.6,10.2,2.33,297,31,339,55.4,35.5,27.86
ISLB 275,275,140,6.4,8.8,14,287,223.7,11.3,2.61,391,41,444,73.5,42,32.97
ISLB 300,300,150,6.7,9.4,15,376,245.1,12.4,2.8,489,50.2,554,90,48.1,37.75
ISLB(P) 300,300,140,7,7,11.6,414,241.4,12.4,2.8,542,59.2,615,102,52.9,41.52
ISLB 325,325,165,7,7,9.8,511,266.5,13.4,3.05,608,61.9,688,112,54.9,43.09
ISLB 350,350,165,7.4,11.4,16,632,288.3,14.5,3.17,752,76.6,851,135,63,49.45
ISLB 400,400,165,8,8,12.5,716,336.2,16.3,3.15,965,86.8,1099,151,72.4,56.83
ISLB 450,450,170,8.6,13.4,16,853,384,18.2,3.2,1224,100,1401,175,83.1,65.23
ISLB 500,500,180,9.2,14.1,17,1064,430.2,20.1,3.34,1543,118,1773,207,95.5,74.96
ISLB 550,550,190,9.9,15,18,1335,476,22,3.48,1933,141,2228,246,110,86.35
ISLB 600,600,210,10.5,15.5,20,1822,520.2,24,3.79,2429,174,2799,307,127,99.69
ISWB 150,150,100,5.4,7,8,94.8,116.6,6.22,2.09,112,19,127,31.9,21.7,17.03
ISWB 175,175,125,5.8,7.4,8,189,139.5,7.33,2.59,173,30.2,194,51.3,28.1,22.05
ISWB 200,200,140,6.1,9,9,329,158.8,8.45,2.99,262,47,294,78.7,36.7,28.8
ISWB 200*,203,152,8.9,16.5,15.5,810,133,8.48,3.49,471,107,539,175,66.4,52.12
ISWB 225,225,150,6.4,9.9,9,449,181.4,9.52,3.22,348,59.8,390,99.8,43.2,33.91
ISWB 250,250,200,6.7,9,10,857,203.8,10.7,4.06,475,85.7,528,150,52,40.82
ISWB 300,300,200,7.4,10,11,990,250.1,12.7,4.02,655,99,731,171,61.3,48.12
ISWB 350,350,200,8,8,11.4,1176,295.5,14.6,4.03,887,118,995,200,72.5,56.91
ISWB 400,400,200,8.6,13,13,1388,340.5,16.6,4.04,1171,139,1320,234,85,66.72
ISWB 450,450,200,9.2,15.4,15,1707,382.2,18.6,4.1,1562,171,1764,284,101,79.28
ISWB 500,500,250,9.9,14.7,15,2988,431,20.8,4.96,2091,239,2353,407,121,94.98
ISWB 550,550,250,10.5,17.6,16,3741,473.4,22.9,5.11,2724,299,3066,500,143,112.25
ISWB 600,600,250,11.2,21.3,17,4703,514.2,25,5.25,3540,376,3987,619,170,133.45
ISWB 600*,600,250,11.8,23.6,18,5298,507.9,25,5.35,3854,424,4342,693,185,145.22
ISHB 150,150,150,5.4,9,8,432,1460,6.5,3.54,194,57.6,215,92.7,34.5,27.1
ISHB 150*,150,150,8.4,9,8,460,1540,6.29,3.44,205,60.2,228,94.7,39,30.6
ISHB 200,200,200,6.1,9,9,967,3600,8.71,4.51,361,96.7,397,159,47.5,37.3
ISHB 200*,200,200,7.8,9,9,995,3720,8.55,4.42,372,98.6,411,160,50.9,40
ISHB 225,225,225,6.5,9.1,10,1350,5300,9.8,4.96,469,120,515,200,54.9,43.1
ISHB 225*,225,225,8.6,9.1,10,1400,5480,9.58,4.84,487,123,538,203,59.7,46.8
ISHB 250,250,250,6.9,9.7,10,1960,7740,10.9,5.49,619,156,678,262,65,51
ISHB 250*,250,250,8.8,9.7,10,2010,7980,10.7,5.31,639,160,704,264,69.7,54.7
ISHB 300,300,250,7.6,10.6,11,2200,12600,13,5.41,836,175,921,291,74.8,58.8
ISHB 300*,300,250,9.4,10.6,11,2250,13000,12.7,5.29,863,178,956,294,80.2,63
ISHB 350,350,250,8.3,11.6,12,2450,19200,14.9,5.34,1090,196,1210,324,85.9,67.4
ISHB 350*,350,250,10.1,11.6,12,2510,19800,14.7,5.22,1130,199,1260,328,92.2,72.4
ISHB 400,400,250,9.1,12.7,14,2730,28100,16.9,5.26,1400,218,1560,360,98.7,77.4
ISHB 400*,400,250,10.6,12.7,14,2780,28800,16.6,5.16,1440,221,1610,364,105,82.2
ISHB 450,450,250,9.8,13.7,15,3000,39200,18.8,5.18,1740,239,1950,394,111,87.2
ISHB 450*,450,250,11.3,13.7,15,3050,40300,18.5,5.08,1790,242,2020,398,118,92.5
